ID Type,ID No,Salutation,Name,Individual Indicator,Add 1,Postal Code,Email Address,Tel No,Type of Payment,Type of Donation,Date of Donation,Cheque No,Amount,Prefix,Receipt Serial No,Date of Printing,Print Indicator,Void,Converted,Project,Remarks,Name of Fund,Gender,Birthday
NRIC,A1,Ms,Amanda Jones,Yes,19096 Herzog Courts Apt. 029,203104,presley89@weissnat-rutherford.com,63839472,Cash,Outright Cash,5/8/2011,85885,9488,DSRTC,4528,12/12/2011,X,Yes,Yes,FB GIT Hackathon,Birthday,DS TAX,M,4/3/2001
FIN,A2,Mr,John Brown,Yes,8124 Richard Terrace,166534,emmettowne@hotmail.com,79336608,Paypal,Credit,6/4/2011,28895,8095,DSNLC,2104,12/12/2011,S,No,No,Message of Hope,Anniversary,DS NLC,F,1/23/1987
NRIC,A3,Mrs,Jane Eyre,No,3733 Boyle Crest Suite 340,489508,dallas83@klocko.com,71898304,Cheque,Credit,3/21/2016,62745,3960,DSRTC,2660,12/12/2016,A,No,No,SG Hackathon,Donation,DS NLC,M,10/16/1995
FIN,A4,Dr,Cristi Farfan  ,Yes,7430 Medhurst Forges Suite 443,696496,pacochawaymon@raynor.com,73490488,Cash,Outright Cash,6/18/2011,90640,7745,DSNLC,4296,12/12/2011,P,Yes,Yes,FB GIT Hackathon,Gift,DS TAX,F,9/16/1992
NRIC,A5,Ms,Mimi Guerin  ,Yes,806 Kimberely Villages,735766,cassandradach@effertz-marvin.com,96751648,Paypal,Outright Cash,9/3/2014,37485,5775,DSRTC,3776,12/12/2014,P,Yes,Yes,FB GIT Hackathon,Want to do good to society,DS TAX,M,3/18/1984
NRIC,A6,Mr,Raven Fetterman  ,Yes,566 Gutmann Underpass,655414,cnader@dickens.com,67379392,Cheque,Outright Cash,1/3/2015,42165,7244,DSNLC,9652,12/12/2015,P,No,No,FB GIT Hackathon,Sharing my wealth,DS TAX,F,6/11/2006
FIN,A7,Mr,Katherine Marasco  ,No,2650 Soloman Fort Suite 521,225592,washington80@yahoo.com,85073752,Cash,Outright Cash,7/29/2013,63485,3452,DSRTC,4580,12/12/2013,S,No,No,Message of Hope,Birthday,DS NLC,M,4/29/1996
FIN,A8,Mrs,Oscar Montes  ,Yes,46504 Hoeger Lock Suite 787,917938,olivaleannon@gmail.com,82552736,Paypal,Credit,4/12/2012,56515,7817,DSNLC,2072,12/12/2012,A,Yes,Yes,SG Hackathon,Birthday,DS NLC,F,6/20/1996
FIN,A9,Ms,Flo Cardon  ,Yes,466 Nikhil Highway,579802,ruben66@haag.com,94268360,Cheque,Credit,11/2/2015,72550,3645,DSRTC,6400,12/12/2015,A,No,No,FB GIT Hackathon,Birthday,DS TAX,M,1/17/1988
NRIC,A10,Mr,Summer Gabrielson  ,Yes,7630 Suzy Drive,472030,uriahwilkinson@goyette.com,83124208,Cash,Outright Cash,9/26/2015,35465,8885,DSNLC,6768,12/12/2015,X,Yes,Yes,FB GIT Hackathon,Anniversary,DS TAX,M,5/26/1986
FIN,A11,Ms,Eun Rolf  ,No,111 Rempel Islands Apt. 981,405754,margarettquigley@yahoo.com,71004704,Paypal,Outright Cash,8/9/2011,12800,323,DSRTC,8828,12/12/2011,X,No,No,FB GIT Hackathon,Birthday,DS TAX,F,3/2/2005
NRIC,A12,Mr,Renetta Schroth  ,Yes,2355 Stamm Plaza,936292,lashundagislason@yahoo.com,79997184,Cheque,Outright Cash,8/29/2011,66630,1242,DSNLC,5900,12/12/2011,X,No,No,Message of Hope,Anniversary,DS NLC,M,9/9/2008
FIN,A13,Mrs,Lucius Karr  ,Yes,733 Tatyana Way,291286,beauwolf@beier-smith.net,91246976,Cash,Outright Cash,5/11/2011,46245,6337,DSRTC,3496,12/12/2011,S,Yes,Yes,SG Hackathon,Donation,DS NLC,M,1/18/2011
NRIC,A14,Dr,Markus Nyland  ,Yes,805 Berge Prairie,831856,blocktabatha@gmail.com,96305584,Paypal,Credit,11/9/2012,65295,2819,DSNLC,4888,12/12/2012,S,Yes,Yes,FB GIT Hackathon,Gift,DS TAX,M,8/26/2005
FIN,A15,Ms,Kym Austria  ,No,32311 Misael Court,626176,abernathycharlie@yahoo.com,74529264,Cheque,Credit,12/11/2013,60635,1538,DSRTC,4468,12/12/2013,S,No,No,FB GIT Hackathon,Want to do good to society,DS TAX,F,7/23/1983
